Customer Id,Age,Edu,Years Employed,Income,Card Debt,Other Debt,DebtIncomeRatio
722,35,1,5,32,175,3985,13
723,42,1,7,25,1629,921,10.2
724,33,1,11,35,506,5059,15.9
725,27,3,0,50,1044,6306,14.7
726,48,2,30,148,3975,6681,7.2
727,33,1,2,44,525,839,3.1
728,37,1,6,31,1701,1926,11.7
729,31,1,5,23,46,414,2
730,35,3,10,39,1602,2454,10.4
731,48,2,6,66,2316,5.67,12.1
732,34,1,16,75,3955,3845,10.4
733,23,2,2,48,511,3089,7.5
734,41,2,8,43,86,215,0.7
735,52,1,33,139,2288,5496,5.6
736,39,1,6,61,563,2914,5.7
737,46,1,1,20,809,1991,14
738,33,2,4,55,2.16,1.69,7
739,34,3,2,39,1143,4005,13.2
740,34,3,12,47,1301,1848,6.7
741,40,1,9,33,4881,729,17
742,45,3,16,80,912,1488,3
743,25,1,1,19,0.19,1121,6.9
744,31,2,6,32,3341,4051,23.1
745,34,4,7,40,0.95,1.61,6.4
746,45,1,23,50,559,1541,4.2
747,44,2,17,129,551,2674,2.5
748,35,1,13,42,769,6623,17.6
749,22,2,0,14,242,2152,17.1
750,26,3,3,40,1896,2424,10.8
751,38,1,6,18,131,2209,13
752,27,1,7,26,641,1725,9.1
753,29,1,11,36,709,1487,6.1
754,29,2,5,28,2126,3.11,18.7
755,22,1,4,24,1636,2108,15.6
756,47,1,4,26,122,2582,10.4
757,27,2,5,25,706,995,6.8
758,24,1,2,18,528,552,6
759,52,1,17,73,1054,5297,8.7
760,26,1,3,29,2527,4926,25.7
761,40,1,22,100,5402,9198,14.6
762,33,2,12,58,3084,7588,18.4
763,30,1,0,17,304,1736,12
764,39,2,16,69,1061,595,2.4
765,24,2,0,16,25,1143,7.3
766,27,4,0,70,1618,3982,8
767,38,2,7,64,651,1269,3
768,36,1,9,40,1976,1944,9.8
769,39,1,4,33,397,1913,7
770,43,1,13,76,2151,2485,6.1
771,24,1,8,17,569,383,5.6
772,21,1,5,25,367,1883,9
773,26,2,2,24,1577,1687,13.6
774,43,1,11,37,0.18,301,1.3
775,36,3,11,44,446,6022,14.7
776,43,1,15,62,694,5134,9.4
777,35,2,11,62,9703,10385,32.4
778,34,2,10,33,574,2561,9.5
779,47,2,17,41,456,3439,9.5
780,48,1,0,30,2663,4027,22.3
781,29,2,9,46,241,495,1.6
782,36,1,7,43,1.04,1626,6.2
783,35,1,10,39,218,2005,5.7
784,39,1,13,38,1897,1485,8.9
785,41,1,21,76,6949,8631,20.5
786,29,3,1,30,279,1071,4.5
787,39,2,18,44,368,556,2.1
788,33,1,12,32,2105,1511,11.3
789,33,2,8,27,1646,1,9.8
790,39,1,0,39,1066,2015,7.9
791,40,2,8,57,878,2314,5.6
792,53,1,33,324,7053,15627,7
793,34,1,15,67,3741,5103,13.2
794,29,3,7,84,6912,4512,13.6
795,30,1,0,17,447,182,3.7
796,38,3,3,25,312,613,3.7
797,25,4,0,24,1597,1307,12.1
798,26,2,6,35,86,579,1.9
799,25,2,5,35,1969,3806,16.5
800,29,1,8,24,0.47,1138,6.7
801,28,1,5,22,0.14,476,2.8
802,48,1,30,101,1875,4589,6.4
803,26,1,0,14,302,748,7.5
804,36,1,4,23,1327,2422,16.3
805,30,1,12,38,171,3059,8.5
806,41,1,1,19,242,594,4.4
807,34,3,13,52,1497,3287,9.2
808,25,3,3,54,1163,2833,7.4
809,45,1,17,62,2437,6863,15
810,22,1,4,19,1887,2502,23.1
811,32,1,13,25,596,1279,7.5
812,21,2,1,17,555,1.23,10.5
813,34,1,6,20,42,198,1.2
814,31,1,10,49,3237,1565,9.8
815,33,1,7,22,631,777,6.4
816,40,2,2,36,278,1.09,3.8
817,36,2,6,27,262,0.98,4.6
818,30,2,2,26,249,739,3.8
819,35,2,0,35,2383,1957,12.4
820,36,1,7,40,1695,2265,9.9
821,37,1,4,24,419,2989,14.2
822,32,1,16,38,694,7286,21
823,45,1,3,20,105,315,2.1
824,27,4,0,25,1419,1756,12.7
825,41,2,4,26,1473,3519,19.2
826,32,2,12,116,4027,2585,5.7
827,48,1,13,50,6114,9286,30.8
828,50,1,1,26,1852,1866,14.3
829,45,3,0,22,0.03,894,4.2
830,33,2,2,37,834,831,4.5
831,33,1,13,52,2714,8362,21.3
832,27,2,8,18,401,1741,11.9
833,36,2,7,43,2649,3973,15.4
834,30,4,7,30,264,4446,15.7
835,28,2,3,36,384,2712,8.6
836,21,3,0,41,2367,5628,19.5
837,23,2,3,24,552,0.96,6.3
838,23,1,7,22,849,2319,14.4
839,26,1,10,25,1306,469,7.1
840,31,1,8,22,0.37,1104,6.7
841,38,3,13,25,343,1082,5.7
842,29,3,7,63,572,2893,5.5
843,32,1,14,36,273,591,2.4
844,32,2,8,45,982,683,3.7
845,41,1,7,43,694,1198,4.4
846,27,1,5,26,548,1.22,6.8
847,28,2,7,34,359,2021,7
848,25,4,0,18,2802,3.21,33.4
849,32,1,12,28,116,696,2.9
850,52,1,16,64,1866,3638,8.6
